x,217,221,225,229,233,237,241,245,249,APAR_213.1,APAR_214.2,APAR_215.3,APAR_216.4,APAR_217.5,APAR_218.6,APAR_219.7,APAR_220.8,APAR_221.9,APAR_222.10,APAR_223.11,APAR_224.12,APAR_225.13,APAR_226.14,APAR_227.15,APAR_228.16,APAR_229.17,APAR_230.18,APAR_231.19,FIF_203.3,FIF_204.4,FIF_205.5,FIF_206.6,FIF_207.7,APAR_16.16,APAR_17.17,APAR_18.18
2019-01-12--05:02:12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.4,18.8,17.6,11.7,7.1,18.5,17.5,15.2,10.6,5.8,29.0,24.5,20.8,26.7,21.3,17.7,26.1,18.7,10.4,22.9,26.0,24.3,24.6,23.5,8.3,10.9,13.8
2019-01-12--05:05:48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.4,18.8,17.6,11.7,7.1,18.5,17.5,15.2,10.6,5.8,29.0,24.5,20.8,26.7,21.3,17.7,26.1,18.7,10.4,22.9,26.0,24.3,24.6,23.5,8.3,10.9,13.8
2019-01-12--05:09:24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.4,18.8,17.6,11.7,7.1,18.5,17.5,15.2,10.6,5.8,29.0,24.5,20.8,26.7,21.3,17.7,26.1,18.7,10.4,22.9,26.0,24.3,24.6,23.5,8.3,10.9,13.8
2019-01-12--05:13:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.4,18.8,17.6,11.7,7.1,18.5,17.5,15.2,10.6,5.8,29.0,24.5,20.8,26.7,21.3,17.7,26.1,18.7,10.4,22.9,26.0,24.3,24.6,23.5,8.3,10.9,13.8
2019-01-12--05:16:36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.4,18.8,17.6,11.8,7.2,18.6,17.5,15.2,10.6,5.9,29.0,24.5,20.8,26.7,21.3,17.6,26.2,18.7,10.4,22.9,26.0,24.3,24.6,23.5,8.5,10.9,13.8
2019-01-12--05:20:12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.4,18.8,17.6,11.8,7.2,18.6,17.5,15.2,10.6,5.9,29.0,24.5,20.8,26.7,21.3,17.6,26.2,18.7,10.4,22.9,26.0,24.3,24.6,23.5,8.5,10.9,13.8
2019-01-12--05:23:48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.4,18.8,17.6,11.8,7.2,18.6,17.5,15.2,10.6,5.9,29.0,24.5,20.8,26.7,21.3,17.6,26.2,18.7,10.4,22.9,26.0,24.3,24.6,23.5,8.5,10.9,13.8
2019-01-12--05:27:24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.4,18.8,17.6,11.8,7.2,18.6,17.5,15.2,10.6,5.9,29.0,24.5,20.8,26.7,21.3,17.6,26.2,18.7,10.4,22.9,26.0,24.3,24.6,23.5,8.5,10.9,13.8
2019-01-12--05:31:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.4,18.9,17.6,11.8,7.2,18.6,17.5,15.3,10.7,5.9,28.9,24.5,20.8,26.7,21.3,17.7,26.2,18.8,10.5,23.0,26.1,24.3,24.6,23.5,8.5,10.9,13.8
2019-01-12--05:34:36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.4,18.9,17.6,11.8,7.2,18.6,17.5,15.3,10.7,5.9,28.9,24.5,20.8,26.7,21.3,17.7,26.2,18.8,10.5,23.0,26.1,24.3,24.6,23.5,8.5,10.9,13.8
