x,APAR_411.11,APAR_412.12,APAR_413.13,APAR_414.14,APAR_415.15,APAR_416.16,APAR_417.17,APAR_418.18,APAR_419.19,APAR_420.20,APAR_421.21,APAR_422.22,APAR_423.23,APAR_424.24,APAR_425.25,FIF_402.2,FIF_403.3,FIF_404.4,FIF_405.5,FIF_406.6
2019-01-12--06:25:00,20.2,19.8,17.5,11.6,7.7,19.5,18.9,17.2,11.5,5.3,18.9,18.3,17.0,5.9,-0.6,23.3,27.3,23.6,22.7,24.2
2019-01-12--06:28:36,20.2,19.8,17.5,11.6,7.7,19.5,18.9,17.2,11.5,5.3,18.9,18.3,17.0,5.9,-0.6,23.3,27.3,23.6,22.7,24.2
2019-01-12--06:32:12,20.2,19.8,17.6,11.6,7.7,19.5,18.9,17.2,11.5,5.3,18.9,18.3,17.1,6.0,-0.6,23.3,27.3,23.6,22.7,24.2
2019-01-12--06:35:48,20.2,19.8,17.6,11.6,7.7,19.5,18.9,17.2,11.5,5.3,18.9,18.3,17.1,6.0,-0.6,23.3,27.3,23.6,22.7,24.2
2019-01-12--06:39:24,20.2,19.8,17.6,11.6,7.7,19.5,18.9,17.2,11.5,5.3,18.9,18.3,17.1,6.0,-0.6,23.3,27.3,23.6,22.7,24.2
2019-01-12--06:43:00,20.2,19.8,17.6,11.6,7.7,19.5,18.9,17.2,11.5,5.3,18.9,18.3,17.1,6.0,-0.6,23.3,27.3,23.6,22.7,24.2
2019-01-12--06:46:36,20.2,19.8,17.6,11.6,7.7,19.5,18.9,17.2,11.6,5.4,18.9,18.3,17.1,6.0,-0.6,23.3,27.3,23.6,22.8,24.2
2019-01-12--06:50:12,20.2,19.8,17.6,11.6,7.7,19.5,18.9,17.2,11.6,5.4,18.9,18.3,17.1,6.0,-0.6,23.3,27.3,23.6,22.8,24.2
2019-01-12--06:53:48,20.2,19.8,17.6,11.6,7.7,19.5,18.9,17.2,11.6,5.4,18.9,18.3,17.1,6.0,-0.6,23.3,27.3,23.6,22.8,24.2
2019-01-12--06:57:24,20.2,19.8,17.6,11.6,7.7,19.5,18.9,17.2,11.6,5.4,18.9,18.3,17.1,6.0,-0.6,23.3,27.3,23.6,22.8,24.2
2019-01-12--07:01:00,20.2,19.8,17.6,11.7,7.8,19.5,18.9,17.2,11.6,5.4,18.9,18.3,17.1,6.1,-0.5,23.3,27.4,23.6,22.8,24.2
2019-01-12--07:04:36,20.2,19.8,17.6,11.7,7.8,19.5,18.9,17.2,11.6,5.4,18.9,18.3,17.1,6.1,-0.5,23.3,27.4,23.6,22.8,24.2
2019-01-12--07:08:12,20.2,19.8,17.6,11.7,7.8,19.5,18.9,17.2,11.6,5.4,18.9,18.3,17.1,6.1,-0.5,23.3,27.4,23.6,22.8,24.2
2019-01-12--07:11:48,20.2,19.8,17.6,11.7,7.8,19.5,18.9,17.2,11.6,5.4,18.9,18.3,17.1,6.1,-0.5,23.3,27.4,23.6,22.8,24.2
2019-01-12--07:15:24,20.2,19.9,17.6,11.7,7.8,19.6,19.0,17.2,11.7,5.5,19.0,18.4,17.1,6.1,-0.5,23.3,27.4,23.7,22.8,24.3
2019-01-12--07:19:00,20.2,19.9,17.6,11.7,7.8,19.6,19.0,17.2,11.7,5.5,19.0,18.4,17.1,6.1,-0.5,23.3,27.4,23.7,22.8,24.3
2019-01-12--07:22:36,20.2,19.9,17.6,11.7,7.8,19.6,19.0,17.2,11.7,5.5,19.0,18.4,17.1,6.1,-0.5,23.3,27.4,23.7,22.8,24.3
2019-01-12--07:26:12,20.2,19.9,17.6,11.7,7.8,19.6,19.0,17.2,11.7,5.5,19.0,18.4,17.1,6.1,-0.5,23.3,27.4,23.7,22.8,24.3
