('0 RG', 'Temperatura') {'x': 1546846405000, '648': 'NaN', 'APAR_30.1': '9.6', 'APAR_31.2': '8.9', 'APAR_32.3': '7.1', 'APAR_33.4': '6552.4', 'APAR_34.5': '6545.2'}
('0 RG', 'Temperatura') {'x': 1546846621000, '648': 'NaN', 'APAR_30.1': '9.6', 'APAR_31.2': '9.0', 'APAR_32.3': '7.1', 'APAR_33.4': '6552.4', 'APAR_34.5': '6545.2'}
('0 RG', 'Temperatura') {'x': 1546846837000, '648': 'NaN', 'APAR_30.1': '9.6', 'APAR_31.2': '8.9', 'APAR_32.3': '7.1', 'APAR_33.4': '6552.4', 'APAR_34.5': '6545.2'}
('0 RG', 'Temperatura') {'x': 1546847053000, '648': 'NaN', 'APAR_30.1': '9.6', 'APAR_31.2': '8.9', 'APAR_32.3': '7.1', 'APAR_33.4': '6552.4', 'APAR_34.5': '6545.2'}
('0 RG', 'Temperatura') {'x': 1546847269000, '648': 'NaN', 'APAR_30.1': '9.6', 'APAR_31.2': '8.9', 'APAR_32.3': '7.1', 'APAR_33.4': '6552.4', 'APAR_34.5': '6545.2'}
('0 RG', 'Temperatura') {'x': 1546847485000, '648': 'NaN', 'APAR_30.1': '9.6', 'APAR_31.2': '8.9', 'APAR_32.3': '7.1', 'APAR_33.4': '6552.3', 'APAR_34.5': '6545.2'}
('0 RG', 'Temperatura') {'x': 1546847701000, '648': 'NaN', 'APAR_30.1': '9.6', 'APAR_31.2': '8.9', 'APAR_32.3': '7.1', 'APAR_33.4': '6552.3', 'APAR_34.5': '6545.2'}
('0 RG', 'Temperatura') {'x': 1546847917000, '648': 'NaN', 'APAR_30.1': '9.6', 'APAR_31.2': '8.9', 'APAR_32.3': '7.1', 'APAR_33.4': '6552.3', 'APAR_34.5': '6545.3'}
('0 RG', 'Temperatura') {'x': 1546848133000, '648': 'NaN', 'APAR_30.1': '9.6', 'APAR_31.2': '8.9', 'APAR_32.3': '7.1', 'APAR_33.4': '6552.3', 'APAR_34.5': '6545.3'}
('0 RG', 'Temperatura') {'x': 1546848349000, '648': 'NaN', 'APAR_30.1': '9.6', 'APAR_31.2': '8.9', 'APAR_32.3': '7.1', 'APAR_33.4': '6552.2', 'APAR_34.5': '6545.3'}
('0 RG', 'Temperatura') {'x': 1546848565000, '648': 'NaN', 'APAR_30.1': '9.6', 'APAR_31.2': '8.9', 'APAR_32.3': '7.1', 'APAR_33.4': '6552.2', 'APAR_34.5': '6545.3'}
