x,APAR_511.11,APAR_512.12,APAR_513.13,APAR_514.14,APAR_515.15,APAR_516.16,APAR_517.17,APAR_518.18,APAR_519.19,APAR_520.20,APAR_521.21,APAR_522.22,APAR_523.23,FIF_504.4,FIF_505.5,FIF_506.6
2019-01-15--08:45:24,20.9,20.8,14.6,9.0,4.0,20.7,20.6,18.7,16.4,22.2,21.9,19.6,17.1,26.2,24.3,26.6
2019-01-15--08:49:00,20.9,20.8,14.6,9.0,4.0,20.7,20.6,18.7,16.4,22.2,21.9,19.6,17.1,26.2,24.3,26.6
2019-01-15--08:52:36,20.9,20.8,14.6,9.0,4.0,20.7,20.6,18.7,16.4,22.2,21.9,19.6,17.1,26.2,24.3,26.6
2019-01-15--08:56:12,20.9,20.8,14.6,9.0,4.0,20.7,20.6,18.7,16.4,22.2,21.9,19.6,17.1,26.2,24.3,26.6
2019-01-15--08:59:48,20.9,20.8,14.6,9.0,4.0,20.7,20.6,18.7,16.4,22.2,21.9,19.6,17.1,26.2,24.3,26.6
2019-01-15--09:03:24,20.9,20.8,14.6,9.0,4.0,20.7,20.6,18.7,16.4,22.2,22.0,19.6,17.1,26.5,24.3,27.1
2019-01-15--09:07:00,20.9,20.8,14.6,9.0,4.0,20.7,20.6,18.7,16.4,22.2,22.0,19.6,17.1,26.5,24.3,27.1
2019-01-15--09:10:36,20.9,20.8,14.6,9.0,4.0,20.7,20.6,18.7,16.4,22.2,22.0,19.6,17.1,26.5,24.3,27.1
2019-01-15--09:14:12,20.9,20.8,14.6,9.0,4.0,20.7,20.6,18.7,16.4,22.2,22.0,19.6,17.1,26.5,24.3,27.1
2019-01-15--09:17:48,20.9,20.8,14.6,9.0,4.0,20.7,20.6,18.7,16.4,22.3,22.0,19.7,17.1,26.6,24.3,27.4
2019-01-15--09:21:24,20.9,20.8,14.6,9.0,4.0,20.7,20.6,18.7,16.4,22.3,22.0,19.7,17.1,26.6,24.3,27.4
2019-01-15--09:25:00,20.9,20.8,14.6,9.0,4.0,20.7,20.6,18.7,16.4,22.3,22.0,19.7,17.1,26.6,24.3,27.4
2019-01-15--09:28:36,20.9,20.8,14.6,9.0,4.0,20.7,20.6,18.7,16.4,22.3,22.0,19.7,17.1,26.6,24.3,27.4
2019-01-15--09:32:12,20.9,20.8,14.6,9.1,4.1,20.7,20.6,18.7,16.4,22.4,22.1,19.7,17.1,26.6,24.3,27.6
2019-01-15--09:35:48,20.9,20.8,14.6,9.1,4.1,20.7,20.6,18.7,16.4,22.4,22.1,19.7,17.1,26.6,24.3,27.6
2019-01-15--09:39:24,20.9,20.8,14.6,9.1,4.1,20.7,20.6,18.7,16.4,22.4,22.1,19.7,17.1,26.6,24.3,27.6
2019-01-15--09:43:00,20.9,20.8,14.6,9.1,4.1,20.7,20.6,18.7,16.4,22.4,22.1,19.7,17.1,26.6,24.3,27.6
2019-01-15--09:46:36,20.9,20.8,14.5,9.1,4.1,20.7,20.6,18.7,16.4,22.5,22.2,19.7,17.1,26.6,24.3,27.5
2019-01-15--09:50:12,20.9,20.8,14.5,9.1,4.1,20.7,20.6,18.7,16.4,22.5,22.2,19.7,17.1,26.6,24.3,27.5
2019-01-15--09:53:48,20.9,20.8,14.5,9.1,4.1,20.7,20.6,18.7,16.4,22.5,22.2,19.7,17.1,26.6,24.3,27.5
2019-01-15--09:57:24,20.9,20.8,14.5,9.1,4.1,20.7,20.6,18.7,16.4,22.5,22.2,19.7,17.1,26.6,24.3,27.5
2019-01-15--10:01:00,20.9,20.8,14.5,9.1,4.1,20.7,20.6,18.7,16.4,22.6,22.2,19.7,17.1,26.5,24.4,27.2
2019-01-15--10:04:36,20.9,20.8,14.5,9.1,4.1,20.7,20.6,18.7,16.4,22.6,22.2,19.7,17.1,26.5,24.4,27.2
2019-01-15--10:08:12,20.9,20.8,14.5,9.1,4.1,20.7,20.6,18.7,16.4,22.6,22.2,19.7,17.1,26.5,24.4,27.2
2019-01-15--10:11:48,20.9,20.8,14.5,9.1,4.1,20.7,20.6,18.7,16.4,22.6,22.2,19.7,17.1,26.5,24.4,27.2
2019-01-15--10:15:24,20.9,20.8,14.5,9.1,4.1,20.7,20.6,18.7,16.4,22.6,22.2,19.7,17.1,26.5,24.4,27.2
2019-01-15--10:19:00,20.9,20.8,14.5,9.1,4.2,20.7,20.6,18.7,16.4,22.6,22.3,19.7,17.1,26.5,24.4,27.3
2019-01-15--10:22:36,20.9,20.8,14.5,9.1,4.2,20.7,20.6,18.7,16.4,22.6,22.3,19.7,17.1,26.5,24.4,27.3
2019-01-15--10:26:12,20.9,20.8,14.5,9.1,4.2,20.7,20.6,18.7,16.4,22.6,22.3,19.7,17.1,26.5,24.4,27.3
2019-01-15--10:29:48,20.9,20.8,14.5,9.1,4.2,20.7,20.6,18.7,16.4,22.6,22.3,19.7,17.1,26.5,24.4,27.3
2019-01-15--10:33:24,20.9,20.8,14.5,9.1,4.2,20.7,20.6,18.7,16.4,22.7,22.3,19.7,17.1,26.6,24.3,27.8
2019-01-15--10:37:00,20.9,20.8,14.5,9.1,4.2,20.7,20.6,18.7,16.4,22.7,22.3,19.7,17.1,26.6,24.3,27.8
2019-01-15--10:40:36,20.9,20.8,14.5,9.1,4.2,20.7,20.6,18.7,16.4,22.7,22.3,19.7,17.1,26.6,24.3,27.8
2019-01-15--10:44:12,20.9,20.8,14.5,9.1,4.2,20.7,20.6,18.7,16.4,22.7,22.3,19.7,17.1,26.6,24.3,27.8
2019-01-15--10:47:48,20.9,20.8,14.5,9.1,4.3,20.7,20.6,18.6,16.4,22.8,22.4,19.8,17.1,26.6,24.4,27.8
